"Word","Length","Freq_HAL","Log_Freq_HAL","POS"
"a","1","10,610,626","16.177","minor|NN"
"aah","3","222","5.403","#"
"Aaron","5","10,806","9.288","NN"
"aback","5","387","5.958","RB"
"abacus","6","513","6.240","NN"
"abandon","7","3,761","8.232","VB|NN"
"abandoned","9","5,160","8.549","VB|JJ"
"abandoning","10","1,005","6.913","VB"
"abandonment","11","786","6.667","NN"
"abase","5","30","3.401","VB"
"abasement","9","7","1.946","NN"
"abash","5","1","0.000","VB"
"abate","5","279","5.631","VB"
"abated","6","144","4.970","VB"
"abbess","6","33","3.497","NN"
"abbey","5","2,286","7.735","NN"
"abbot","5","616","6.423","NN"
"abbreviate","10","203","5.313","VB"
"abbreviated","11","1,214","7.102","JJ|VB"
"abbreviation","12","1,908","7.554","NN"
"abbreviations","13","2,480","7.816","NN"
"abdicate","8","118","4.771","VB"
"abdomen","7","1,279","7.154","NN"
"abdominal","9","850","6.745","JJ"
"abduct","6","180","5.193","VB"
"abduction","9","1,995","7.598","NN"
"Abe","3","1,235","7.119","NN"
"abed","4","143","4.963","RB"
"Abel","4","1,009","6.917","NN"
"Abel's","6","52","3.951","encl"
"aberrant","8","166","5.112","JJ"
"aberration","10","556","6.321","NN"
"aberrations","11","299","5.700","NN"
"abet","4","81","4.394","VB"
"abetted","7","132","4.883","VB"
"abeyance","8","36","3.584","NN"
"abhor","5","383","5.948","VB"
"abhorred","8","87","4.466","VB"
"abhorrent","9","366","5.903","JJ"
"abide","5","1,967","7.584","VB"
"abides","6","443","6.094","VB"
"abiding","7","1,363","7.217","JJ|VB"
"Abigail","7","693","6.541","NN"
"abilities","9","9,029","9.108","NN"
"ability","7","56,922","10.949","NN"
"abject","6","505","6.225","JJ"
"ablaze","6","154","5.037","JJ"
"able","4","176,528","12.081","JJ"
"ably","4","256","5.545","RB"
"abnormal","8","2,204","7.698","JJ"
"abnormalities","13","644","6.468","NN"
"abnormality","11","291","5.673","NN"
"abnormally","10","372","5.919","RB"
"aboard","6","3,721","8.222","minor|RB"
"abode","5","486","6.186","NN"
"abolish","7","1,606","7.382","VB"
"abolished","9","1,458","7.285","VB"
"abolition","9","827","6.718","NN"
"abolitionist","12","134","4.898","NN|JJ"
"abolitionists","13","100","4.605","NN"
"abominable","10","473","6.159","JJ"
"abominate","9","3","1.099","VB"
"aboriginal","10","1,459","7.286","JJ|NN"
"aborigine","9","71","4.263","NN"
"aborigines","10","511","6.236","NN"
"abort","5","2,778","7.929","VB"
"abortion","8","16,764","9.727","NN"
"abortionist","11","206","5.328","NN"
"abortions","9","3,768","8.234","NN"
"abortive","8","213","5.361","JJ"
"abound","6","1,065","6.971","VB"
"abounded","8","78","4.357","VB"
"abounding","9","100","4.605","VB"
"abounds","7","314","5.749","VB"
"about","5","1,307,019","14.083","minor|RB|JJ"
"above","5","177,919","12.089","minor|JJ|NN"
"aboveground","11","19","2.944","RB|JJ"
"abracadabra","11","73","4.290","minor"
"Abraham","7","3,824","8.249","NN"
"abrasion","8","250","5.521","NN"
"abrasive","8","576","6.356","JJ"
"abreast","7","491","6.196","RB"
"abridged","8","797","6.681","VB"
"abridgment","10","42","3.738","NN"
"abroad","6","5,984","8.697","RB|NN"
"abrogate","8","100","4.605","VB"
"abrogated","9","128","4.852","VB"
"abrupt","6","719","6.578","JJ"
"abruptly","8","1,230","7.115","RB"
"abruptness","10","23","3.135","NN"
"abscess","7","96","4.564","NN"
"abscesses","9","109","4.691","NN"
"abscissa","8","18","2.890","NN"
"abscond","7","17","2.833","VB"
"absence","7","7,304","8.896","NN"
"absences","8","143","4.963","NN"
"absent","6","3,019","8.013","JJ"
"absented","8","4","1.386","VB"
"absentee","8","152","5.024","JJ"
"absenteeism","11","78","4.357","NN"
"absently","8","190","5.247","RB"
"absentmindedly","14","49","3.892","RB"
"absinth","7","8","2.079","NN"
"absolute","8","16,840","9.732","JJ|NN"
"absolutely","10","36,965","10.518","RB"
"absoluteness","12","23","3.135","NN"
"absolutes","9","587","6.375","NN"
"absolution","10","140","4.942","NN"
"absolutism","10","197","5.283","NN"
"absolve","7","223","5.407","VB"
"absorb","6","2,787","7.933","VB"
"absorbed","8","2,954","7.991","VB|JJ"
"absorbency","10","82","4.407","NN"
"absorbent","9","193","5.263","JJ"
"absorber","8","143","4.963","NN"
"absorbing","9","933","6.838","VB|JJ"
"absorbs","7","619","6.428","VB"
"absorption","10","1,735","7.459","NN"
"absorptions","11","11","2.398","NN"
"absorptive","10","32","3.466","JJ"
"abstain","7","960","6.867","VB"
"abstaining","10","190","5.247","VB|NN"
"abstention","10","72","4.277","NN"
"abstinence","10","983","6.891","NN"
"abstinent","9","73","4.290","JJ"
"abstract","8","8,606","9.060","JJ|NN|VB"
"abstracted","10","261","5.565","JJ|VB"
"abstractedness","14","2","0.693","NN"
"abstracting","11","113","4.727","VB|NN"
"abstraction","11","1,596","7.375","NN"
"abstractionism","14","1","0.000","NN"
"abstractionists","15","3","1.099","NN"
"abstractions","12","512","6.238","NN"
"abstractive","11","7","1.946","JJ"
"abstractly","10","143","4.963","RB"
"abstractors","11","0","0.000","NN"
"abstracts","9","4,089","8.316","NN|VB"
"abstruse","8","157","5.056","JJ"
"absurd","6","4,985","8.514","JJ|NN"
"absurdities","11","300","5.704","NN"
"absurdity","9","1,084","6.988","NN"
"absurdly","8","316","5.756","RB"
"abundance","9","1,825","7.509","NN"
"abundant","8","1,381","7.231","JJ"
"abuse","5","25,915","10.163","VB"
"abused","6","6,038","8.706","VB|JJ"
"abuses","6","3,312","8.105","VB"
"abusive","7","3,526","8.168","JJ"
"abut","4","259","5.557","VB"
"abutment","8","19","2.944","NN"
"abutments","9","18","2.890","NN"
"abysmal","7","619","6.428","JJ"
"abyss","5","4,219","8.347","NN"
"acacia","6","213","5.361","NN"
"academic","8","17,622","9.777","JJ|NN"
"academically","12","725","6.586","RB"
"academicianship","15","1","0.000","NN"
"academics","9","1,817","7.505","NN"
"academies","9","967","6.874","NN"
"academy","7","12,050","9.397","NN"
"Acadia","6","305","5.720","NN"
"Acapulco","8","180","5.193","NN"
"accede","6","149","5.004","VB"
"acceded","7","62","4.127","VB"
"accelerando","11","7","1.946","JJ|RB"
"accelerate","10","2,368","7.770","VB"
"accelerated","11","3,367","8.122","VB"
"accelerating","12","1,037","6.944","VB|NN"
"acceleration","12","4,203","8.344","NN"
"accelerations","13","169","5.130","NN"
"accelerator","11","5,152","8.547","NN"
"accelerators","12","1,466","7.290","NN"
"accelerometer","13","70","4.248","NN"
"accelerometers","14","63","4.143","NN"
"accent","6","5,213","8.559","NN"
"accented","8","1,182","7.075","VB|JJ"
"accenting","9","54","3.989","VB|NN"
"accents","7","1,796","7.493","NN"
"accentual","9","1","0.000","JJ"
"accentuate","10","161","5.081","VB"
"accentuated","11","193","5.263","VB"
"accentuates","11","57","4.043","VB"
"accept","6","49,430","10.808","VB"
"acceptable","10","16,372","9.703","JJ"
"acceptance","10","8,774","9.080","NN"
"accepted","8","33,901","10.431","VB|JJ"
"accepting","9","7,649","8.942","VB"
"accepts","7","4,586","8.431","VB"
"access","6","172,256","12.057","NN|VB"
"accesses","8","2,369","7.770","NN|VB"
"accessible","10","10,758","9.283","JJ"
"accessions","10","48","3.871","NN"
"accessories","11","5,737","8.655","NN"
"accessors","9","173","5.153","NN"
"accessory","9","1,342","7.202","NN"
"accident","8","11,152","9.319","NN"
"accidental","10","2,346","7.760","JJ"
"accidentally","12","4,432","8.397","RB"
"accidents","9","4,163","8.334","NN"
"acclaim","7","889","6.790","NN|VB"
"acclaimed","9","1,049","6.956","VB|JJ"
"acclaims","8","7","1.946","VB"
"acclamation","11","26","3.258","NN"
"acclimate","9","97","4.575","VB"
"acclimatized","12","17","2.833","VB|JJ"
"accolade","8","703","6.555","NN"
"accolades","9","227","5.425","NN"
"accommodate","11","2,454","7.805","VB"
"accommodated","12","301","5.707","VB"
"accommodates","12","136","4.913","VB"
"accommodating","13","447","6.103","VB|JJ"
"accommodation","13","2,006","7.604","NN"
"accommodations","14","1,434","7.268","NN"
"accompanied","11","4,441","8.399","VB"
"accompanies","11","722","6.582","VB"
"accompaniment","13","711","6.567","NN"
"accompaniments","14","36","3.584","NN"
"accompanist","11","156","5.050","NN"
"accompanists","12","73","4.290","NN"
"accompany","9","2,138","7.668","VB"
"accompanying","12","2,991","8.003","VB"
"accomplice","10","281","5.638","NN"
"accomplices","11","220","5.394","NN"
"accomplish","10","7,794","8.961","VB"
"accomplished","12","6,982","8.851","VB|JJ"
"accomplishes","12","592","6.384","VB"
"accomplishing","13","704","6.557","VB"
"accomplishment","14","1,301","7.171","NN"
"accomplishments","15","1,990","7.596","NN"
"accord","6","3,524","8.167","NN|VB"
