lemma,pos,synonyms,hypernyms
a,NN,a|A|adenine|amp|ampere|angstrom|angstrom unit|antiophthalmic factor|axerophthol|deoxyadenosine monophosphate|group A|type A|vitamin A,metric linear unit|fat-soluble vitamin|nucleotide|base|purine|current unit|letter|letter of the alphabet|alphabetic character|blood group|blood type
in,RB,in|inward|inwards,NA
in,JJ,in|in(a)|in(p),NA
I,NN,1|ace|atomic number 53|i|I|iodin|iodine|one|single|unity,chemical element|element|halogen|digit|figure|letter|letter of the alphabet|alphabetic character
it,NN,information technology|IT,engineering|engineering science|applied science|technology
on,JJ,on,NA
have,NN,have|rich person|wealthy person,person|individual|someone|somebody|mortal|soul
as,RB,as|equally|every bit,NA
not,RB,non|not,NA
by,RB,aside|away|by|past,NA
will,VB,bequeath|leave|will,ordain|decide|make up one's mind|determine|give|gift|present
will,NN,testament|volition|will,faculty|mental faculty|module|purpose|intent|intention|aim|design|legal document|legal instrument|official document|instrument
all,RB,all|altogether|completely|entirely|right|totally|whole|wholly,NA
can,VB,can|dismiss|displace|fire|force out|give notice|give the axe|give the sack|put up|sack|send away|terminate|tin,preserve|keep|remove
can,NN,arse|ass|backside|bathroom|behind|bottom|bum|buns|butt|buttocks|can|can buoy|canful|commode|crapper|derriere|fanny|fundament|hind end|hindquarters|john|keister|lav|lavatory|nates|posterior|pot|potty|prat|privy|rear|rear end|rump|seat|stern|stool|tail|tail end|throne|tin|tin can|toilet|tooshie|tush,container|containerful|buoy|body part|plumbing fixture|room
one,NN,1|ace|I|one|single|unity,digit|figure|unit
do,NN,bash|brawl|do|DO|Doctor of Osteopathy|doh|ut,party|solfa syllable|doctor's degree|doctorate
there,RB,there|thither,NA
about,RB,about|almost|approximately|around|close to|just about|more or less|most|near|nearly|nigh|or so|roughly|some|virtually|well-nigh,NA
about,JJ,about(p)|astir(p),NA
so,RB,and so|hence|indeed|so|then|thence|therefore|thus|thusly,NA
no,RB,no|no more,NA
any,RB,any,NA
out,JJ,extinct|forbidden|kayoed|knocked out(p)|KO'd|out|out(a)|out(p)|prohibited|proscribed|stunned|taboo|tabu|verboten,NA
much,JJ,much(a),NA
much,RB,a good deal|a great deal|a lot|lots|much|often|practically|very much,NA
like,VB,care|like|wish,desire|want|see|consider|reckon|view|regard
like,NN,ilk|like|the like|the likes of,kind|sort|form|variety|kind|sort|form|variety
like,JJ,alike(p)|comparable|corresponding|like|same|similar,NA
just,RB,barely|but|exactly|hardly|just|just now|merely|only|precisely|properly|scarce|scarcely|simply,NA
just,JJ,equitable|fair|good|just|upright,NA
get,VB,acquire|aim|amaze|arrest|arrive|baffle|beat|become|beget|begin|bewilder|bring|bring forth|bugger off|buzz off|capture|catch|cause|come|commence|contract|convey|develop|draw|drive|dumbfound|engender|experience|father|fetch|find|fix|flummox|fuck off|generate|get|get down|get under one's skin|go|gravel|grow|have|incur|induce|let|make|mother|mystify|nonplus|obtain|pay back|pay off|perplex|pose|produce|puzzle|receive|scram|set about|set out|sire|start|start out|stick|stimulate|stupefy|suffer|sustain|take|vex,change state|turn|make|get|change|transmit|transfer|transport|channel|channelize|channelise|undergo|get even|get back|score|hit|tally|rack up|seize|prehend|clutch|sicken|come down|communicate|intercommunicate|alter|modify|mean|intend|understand|attract|pull|pull in|draw|draw in|acquire|buy|purchase|hear|hurt|ache|suffer|leave|go forth|go away|catch|annoy|rag|get to|bother|get at|irritate|rile|nark|nettle|gravel|vex|chafe|devil|touch|stir|reproduce|effect|effectuate|set up|destroy|ruin|confuse|throw|fox|befuddle|fuddle|bedevil|confound|discombobulate|experience|receive|have|create
up,VB,up,increase
up,JJ,astir(p)|improving|up|up(a)|up(p)|upward(a),NA
up,RB,up|upward|upwardly|upwards,NA
other,JJ,early(a)|former(a)|other|other(a),NA
article,NN,article|clause,nonfiction|nonfictional prose|piece|artifact|artefact|section|subdivision|determiner|determinative
only,RB,alone|but|entirely|exclusively|just|merely|only|only if|only when|simply|solely,NA
only,JJ,alone(p)|lone(a)|lonesome(a)|only|only(a)|sole(a)|solitary(a),NA
know,NN,know,knowing
time,NN,clip|clock time|fourth dimension|meter|metre|prison term|sentence|time,case|instance|example|time period|period of time|period|moment|minute|second|instant|attribute|experience|reading|meter reading|indication|dimension|rhythmicity|term
time,VB,clock|time,quantify|measure|schedule|determine|shape|mold|influence|regulate|adjust|set|correct
also,RB,also|as well|besides|likewise|too,NA
people,NN,citizenry|hoi polloi|mass|masses|multitude|people|the great unwashed,group|grouping|family|family line|folk|kinfolk|kinsfolk|sept|phratry
people,VB,people,populate|dwell|live|inhabit
have,VB,accept|bear|birth|cause|consume|deliver|experience|feature|get|give|give birth|have|have got|hold|induce|ingest|let|make|own|possess|receive|stimulate|suffer|sustain|take|take in|throw,NA
new,JJ,fresh|Modern|new|New|new(a)|novel|raw|unexampled|young,NA
then,RB,and so|so|then,NA
then,JJ,then(a),NA
use,VB,apply|employ|expend|habituate|practice|use|utilise|utilize,consume|ingest|take in|take|have|exploit|work|act|move
think,VB,believe|call back|call up|cerebrate|cogitate|conceive|consider|guess|imagine|intend|mean|opine|recall|reckon|recollect|remember|retrieve|suppose|think,evaluate|pass judgment|judge|expect|anticipate|imagine|conceive of|ideate|envisage|concentrate|focus|center|centre|pore|rivet|think|cogitate|cerebrate|believe|consider|conceive|change|alter|modify
think,NN,think,deliberation|weighing|advisement
now,RB,at once|at present|directly|forthwith|immediately|instantly|like a shot|now|nowadays|right away|straight off|straightaway|today,NA
now,NN,now,present|nowadays
very,RB,rattling|real|really|very,NA
very,JJ,identical|selfsame(a)|very(a),NA
please,VB,delight|please,satisfy|gratify|wish|care|like
be,VB,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
may,NN,Crataegus laevigata|Crataegus oxycantha|English hawthorn|may|May|whitethorn,Gregorian calendar month|hawthorn|haw
first,JJ,1st|beginning(a)|first|foremost|inaugural|initiative|initiatory|maiden|world-class,NA
first,RB,first|first of all|first off|firstly|foremost,NA
