name,id
a,a
adenine,adenine
amp,amp
ampere,ampere
angstrom,angstrom
axerophthol,axerophthol
nucleotide,nucleotide
base,base
purine,purine
letter,letter
in,in
inward,inward
inwards,inwards
in(a),in(a)
in(p),in(p)
i,i
1,1
ace,ace
iodin,iodin
iodine,iodine
one,one
single,single
unity,unity
element,element
halogen,halogen
digit,digit
figure,figure
it,it
engineering,engineering
technology,technology
have,have
person,person
individual,individual
someone,someone
somebody,somebody
mortal,mortal
soul,soul
as,as
equally,equally
not,not
non,non
by,by
aside,aside
away,away
past,past
will,will
bequeath,bequeath
leave,leave
ordain,ordain
decide,decide
determine,determine
give,give
gift,gift
present,present
testament,testament
volition,volition
faculty,faculty
module,module
purpose,purpose
intent,intent
intention,intention
aim,aim
design,design
instrument,instrument
all,all
altogether,altogether
completely,completely
entirely,entirely
right,right
totally,totally
whole,whole
wholly,wholly
can,can
dismiss,dismiss
displace,displace
fire,fire
sack,sack
terminate,terminate
tin,tin
preserve,preserve
keep,keep
remove,remove
arse,arse
ass,ass
backside,backside
bathroom,bathroom
behind,behind
bottom,bottom
bum,bum
buns,buns
butt,butt
buttocks,buttocks
canful,canful
commode,commode
crapper,crapper
derriere,derriere
fanny,fanny
fundament,fundament
hindquarters,hindquarters
john,john
keister,keister
lav,lav
lavatory,lavatory
nates,nates
posterior,posterior
pot,pot
potty,potty
prat,prat
privy,privy
rear,rear
rump,rump
seat,seat
stern,stern
stool,stool
tail,tail
throne,throne
toilet,toilet
tooshie,tooshie
tush,tush
container,container
containerful,containerful
buoy,buoy
room,room
unit,unit
do,do
bash,bash
brawl,brawl
doh,doh
ut,ut
party,party
doctorate,doctorate
there,there
thither,thither
about,about
almost,almost
approximately,approximately
around,around
most,most
near,near
nearly,nearly
nigh,nigh
roughly,roughly
some,some
virtually,virtually
well-nigh,well-nigh
about(p),about(p)
astir(p),astir(p)
so,so
hence,hence
indeed,indeed
then,then
thence,thence
therefore,therefore
thus,thus
thusly,thusly
out,out
extinct,extinct
forbidden,forbidden
kayoed,kayoed
ko'd,ko'd
out(a),out(a)
out(p),out(p)
prohibited,prohibited
