Source,Target,type
a,adenin,Undirected
a,amp,Undirected
a,amper,Undirected
a,angstrom,Undirected
a,axerophthol,Undirected
a,nucleotid,Undirected
a,base,Undirected
a,purin,Undirected
a,letter,Undirected
a,equal,Undirected
a,arsen,Undirected
amp,amper,Undirected
amp,nucleotid,Undirected
amp,base,Undirected
nucleotid,base,Undirected
nucleotid,u,Undirected
nucleotid,ester,Undirected
base,bottom,Undirected
base,fundament,Undirected
base,form,Undirected
base,mean,Undirected
base,piec,Undirected
base,suppos,Undirected
base,portion,Undirected
base,part,Undirected
base,locat,Undirected
base,support,Undirected
base,number,Undirected
base,establish,Undirected
base,found,Undirected
base,situat,Undirected
base,radic,Undirected
base,build,Undirected
base,compon,Undirected
base,constitu,Undirected
base,ingredi,Undirected
base,control,Undirected
base,fund,Undirected
base,stand,Undirected
base,stock,Undirected
base,bed,Undirected
base,home,Undirected
base,u,Undirected
base,plate,Undirected
base,bag,Undirected
base,root,Undirected
base,theme,Undirected
base,store,Undirected
base,humbl,Undirected
base,lowli,Undirected
base,signifi,Undirected
base,assumpt,Undirected
base,ground,Undirected
base,floor,Undirected
base,descriptor,Undirected
base,supposit,Undirected
base,al-qa'ida,Undirected
base,al-qaeda,Undirected
base,al-qaida,Undirected
base,alkali,Undirected
base,basi,Undirected
base,cornerston,Undirected
base,foot,Undirected
base,foundat,Undirected
base,groundwork,Undirected
base,infrastructur,Undirected
base,pedest,Undirected
base,qaeda,Undirected
base,radix,Undirected
base,stem,Undirected
base,substructur,Undirected
base,understructur,Undirected
base,ester,Undirected
base,compound,Undirected
base,flank,Undirected
base,undersid,Undirected
base,undersurfac,Undirected
base,electrod,Undirected
base,free-bas,Undirected
base,drug,Undirected
base,immor,Undirected
base,basal,Undirected
base,mat,Undirected
base,sordid,Undirected
base,despic,Undirected
base,unworthi,Undirected
base,baseborn,Undirected
base,contempt,Undirected
base,third,Undirected
base,meanli,Undirected
base,meanspirit,Undirected
base,scurvili,Undirected
base,melamin,Undirected
base,trivet,Undirected
