name,id
a,a
adenin,adenin
amp,amp
amper,amper
angstrom,angstrom
axerophthol,axerophthol
nucleotid,nucleotid
base,base
purin,purin
letter,letter
in,in
inward,inward
in(a),in(a)
in(p),in(p)
i,i
1,1
ac,ac
iodin,iodin
on,on
singl,singl
uniti,uniti
element,element
halogen,halogen
digit,digit
figur,figur
it,it
engin,engin
technologi,technologi
have,have
person,person
individu,individu
someon,someon
somebodi,somebodi
mortal,mortal
soul,soul
equal,equal
not,not
non,non
by,by
asid,asid
awai,awai
past,past
will,will
bequeath,bequeath
leav,leav
ordain,ordain
decid,decid
determin,determin
give,give
gift,gift
present,present
testament,testament
volit,volit
faculti,faculti
modul,modul
purpos,purpos
intent,intent
aim,aim
design,design
instrument,instrument
all,all
altogeth,altogeth
complet,complet
entir,entir
right,right
total,total
whole,whole
wholli,wholli
can,can
dismiss,dismiss
displac,displac
fire,fire
sack,sack
termin,termin
tin,tin
preserv,preserv
keep,keep
remov,remov
ars,ars
ass,ass
backsid,backsid
bathroom,bathroom
behind,behind
bottom,bottom
bum,bum
bun,bun
butt,butt
buttock,buttock
commod,commod
crapper,crapper
derrier,derrier
fanni,fanni
fundament,fundament
hindquart,hindquart
john,john
keister,keister
lav,lav
lavatori,lavatori
nate,nate
posterior,posterior
pot,pot
potti,potti
prat,prat
privi,privi
rear,rear
rump,rump
seat,seat
stern,stern
stool,stool
tail,tail
throne,throne
toilet,toilet
tooshi,tooshi
tush,tush
contain,contain
buoi,buoi
room,room
unit,unit
do,do
bash,bash
brawl,brawl
doh,doh
ut,ut
parti,parti
doctor,doctor
there,there
thither,thither
about,about
almost,almost
approxim,approxim
around,around
most,most
near,near
nearli,nearli
nigh,nigh
roughli,roughli
some,some
virtual,virtual
well-nigh,well-nigh
about(p),about(p)
astir(p),astir(p)
so,so
henc,henc
inde,inde
then,then
thenc,thenc
therefor,therefor
thu,thu
thusli,thusli
out,out
extinct,extinct
forbidden,forbidden
kayo,kayo
ko'd,ko'd
out(a),out(a)
out(p),out(p)
prohibit,prohibit
proscrib,proscrib
stun,stun
taboo,taboo
tabu,tabu
verboten,verboten
much,much
much(a),much(a)
lot,lot
often,often
practic,practic
like,like
care,care
wish,wish
desir,desir
want,want
see,see
consid,consid
reckon,reckon
view,view
regard,regard
ilk,ilk
kind,kind
sort,sort
form,form
varieti,varieti
alike(p),alike(p)
compar,compar
correspond,correspond
same,same
similar,similar
just,just
bare,bare
but,but
exactli,exactli
hardli,hardli
mere,mere
onli,onli
precis,precis
properli,properli
scarc,scarc
simpli,simpli
equit,equit
fair,fair
good,good
upright,upright
get,get
acquir,acquir
amaz,amaz
arrest,arrest
arriv,arriv
baffl,baffl
beat,beat
becom,becom
